Entity,Code,Year,Population (historical estimates)
Ukraine,UKR,1906,24823920
Guatemala,GTM,1941,2378675
Uganda,UGA,1954,5740774
Norway,NOR,1952,3334477
Mozambique,MOZ,2000,17711925
United Arab Emirates,ARE,1851,40127
Solomon Islands,SLB,1867,90627
Gambia,GMB,1835,107581
Vietnam,VNM,1935,17998713
Congo,COG,1811,314465
Paraguay,PRY,1931,900558
Nicaragua,NIC,1939,959251
Moldova,MDA,1987,4290484
Vatican,VAT,1857,906
Zambia,ZMB,1952,2431341
Philippines,PHL,1883,5753101
Bahamas,BHS,1834,27651
South Africa,ZAF,1818,1564103
Guyana,GUY,1862,154639
Saint Martin (French part),MAF,2010,37582
Afghanistan,AFG,1804,3280000
Jordan,JOR,1829,239171
North Macedonia,MKD,1882,682198
Mali,MLI,1835,1452127
Sao Tome and Principe,STP,1997,135831
Senegal,SEN,1860,986312
Saint Vincent and the Grenadines,VCT,1845,29252
Georgia,GEO,1924,2768866
Saudi Arabia,SAU,1978,8646845
Uruguay,URY,1934,1842610
Mauritania,MRT,2014,3930894
Belize,BLZ,1968,116065
Ethiopia,ETH,1996,58883531
Mali,MLI,1950,4708425
Myanmar,MMR,1903,9936399
Sweden,SWE,1945,6686887
Lebanon,LBN,1885,480975
Democratic Republic of Congo,COD,1972,21121360
Tunisia,TUN,1992,8613855
Nauru,NRU,1959,4186
Czechia,CZE,1914,10283000
Sudan,SDN,2006,31661824
Sudan,SDN,1830,4289105
Seychelles,SYC,2001,82413
Canada,CAN,1978,23901716
Africa,NA,1937,185692116
Bhutan,BTN,1819,391895
Armenia,ARM,1971,2587716
Cameroon,CMR,1918,2827957
Czechia,CZE,1952,9110144
Netherlands,NLD,2006,16440091
Yemen,YEM,2021,30490639
Sweden,SWE,2016,9836003
Jamaica,JAM,1818,389613
Panama,PAN,1871,175933
French Guiana,GUF,1880,12186
Faeroe Islands,FRO,1962,35521
Dominica,DMA,1871,26977
Bermuda,BMU,2013,64381
Fiji,FJI,1982,668281
Morocco,MAR,1883,3960579
Jordan,JOR,1970,1721315
Tonga,TON,1874,19405
Norway,NOR,1974,3985735
Mauritius,MUS,1854,228254
Belgium,BEL,2005,10546885
Kiribati,KIR,1830,18759
Central African Republic,CAF,1887,1016895
Singapore,SGP,2012,5369469
Jordan,JOR,1852,295240
Denmark,DNK,1921,3274391
Cayman Islands,CYM,1980,16207
Saint Lucia,LCA,1869,31919
Kuwait,KWT,1927,121240
Gambia,GMB,2009,1740277
Poland,POL,1934,28288066
Sweden,SWE,1998,8870854
Iraq,IRQ,2007,27911242
France,FRA,1982,54391469
Iran,IRN,1902,10464620
Curacao,CUW,2003,128422
Cameroon,CMR,1960,5176920
Togo,TGO,1811,445985
Ethiopia,ETH,1838,15564956
Trinidad and Tobago,TTO,1810,34746
Venezuela,VEN,1863,1554745
Belgium,BEL,1870,5097637
Philippines,PHL,1959,25405531
Guinea-Bissau,GNB,1839,213285
Mauritius,MUS,1918,379539
Africa,NA,1949,223251064
Belize,BLZ,1899,37159
Seychelles,SYC,1801,12522
North Korea,PRK,2001,23132982
Senegal,SEN,1910,1465445
Bangladesh,BGD,1941,34852490
Timor,TLS,2021,1343875
Guinea,GIN,1948,2908051
World,OWID_WRL,2007,6706251239
Kyrgyzstan,KGZ,1926,1386299
Cyprus,CYP,1942,456951
Ukraine,UKR,1826,11848341
Azerbaijan,AZE,1900,1830204
Taiwan,TWN,1986,19560164
World,OWID_WRL,1868,1335831902
Djibouti,DJI,2001,733019
Svalbard and Jan Mayen,SJM,1800,489
Europe,NA,1976,681155180
Cuba,CUB,1851,1206388
Hong Kong,HKG,2009,6924642
Equatorial Guinea,GNQ,1889,140465
Sweden,SWE,1937,6296520
Suriname,SUR,1808,80721
Ukraine,UKR,1927,30125282
South Africa,ZAF,1970,22069783
Vanuatu,VUT,2007,219464
Democratic Republic of Congo,COD,1883,9614814
Solomon Islands,SLB,1940,80219
Argentina,ARG,1800,534000
Russia,RUS,1839,37325679
Burundi,BDI,1854,1439006
United Kingdom,GBR,1956,51265885
Angola,AGO,1856,2553287
Northern Mariana Islands,MNP,1990,45752
Laos,LAO,1851,629799
Malaysia,MYS,1978,13122833
Mali,MLI,1894,2195827
Brazil,BRA,1916,25388691
San Marino,SMR,1848,6817
Guinea,GIN,1999,8054745
Guyana,GUY,1961,589274
Belgium,BEL,1920,7568708
Tajikistan,TJK,1993,5593317
Haiti,HTI,1826,761700
Senegal,SEN,1960,3206757
Bosnia and Herzegovina,BIH,2014,3482106
Indonesia,IDN,1906,41006369
Nepal,NPL,1817,3898631
Estonia,EST,1953,1136906
Nicaragua,NIC,1863,334653
United States,USA,2007,300608425
Argentina,ARG,1932,12243128
Mali,MLI,1938,3871616
Tunisia,TUN,1830,948016
Tajikistan,TJK,1806,466629
Nauru,NRU,1953,3655
Qatar,QAT,1829,14092
Namibia,"NAM",1860,131118
Uruguay,URY,1945,2114131
North America,NA,1988,416389761
Saudi Arabia,SAU,1928,2534780
Luxembourg,LUX,1937,299708
Solomon Islands,SLB,1914,127279
Hong Kong,HKG,1924,702848
Sudan,SDN,1925,5102620
Saint Lucia,LCA,1918,53865
United Kingdom,GBR,1970,55573455
Sint Maarten (Dutch part),SXM,1991,29852
Hong Kong,HKG,1850,38893
Belgium,BEL,1916,7519973
North America,NA,2019,587512621
Rwanda,RWA,1850,1501243
Chad,TCD,1989,5773930
Albania,ALB,1824,444927
Bahrain,BHR,1985,419428
San Marino,SMR,1956,14072
Saudi Arabia,SAU,1958,3855030
Bermuda,BMU,1994,63101
Lebanon,LBN,1843,391865
Moldova,MDA,1832,795175
North Macedonia,MKD,1802,391865
Suriname,SUR,1881,91027
Malaysia,MYS,1981,14134060
Guinea-Bissau,GNB,1925,363724
Antigua and Barbuda,ATG,1937,37922
Finland,FIN,1954,4191970
Bulgaria,BGR,1913,4680227
Greece,GRC,1812,2287002
Samoa,WSM,1851,46505
United Arab Emirates,ARE,1871,39889
Singapore,SGP,1832,38524
Malaysia,MYS,1948,5870020
Mexico,MEX,1875,9726329
Cote d'Ivoire,CIV,1888,1341886
Gabon,GAB,1913,330635
Palestine,PSE,1987,1879750
Chad,TCD,1976,4173131
Aruba,ABW,1988,61072
Guinea,GIN,1874,1244047
Democratic Republic of Congo,COD,1934,9596543
Saint Helena,SHN,1963,5325
Gabon,GAB,2000,1228359
India,IND,1862,247373226
Timor,TLS,1965,519676
Poland,POL,2001,38529585
Moldova,MDA,1825,745920
North Korea,PRK,1987,19431992
Oman,OMN,1994,2148416
Malta,MLT,1854,164184
Angola,AGO,1932,3401704
Congo,COG,2004,3510468
Lesotho,LSO,1986,1561687
Egypt,EGY,1912,11278506
Vietnam,VNM,1871,10447974
Burkina Faso,BFA,1988,8356313
Tajikistan,TJK,1807,466629
Namibia,"NAM",1990,1432899
Samoa,WSM,1937,63908
Bhutan,BTN,1940,252338
Maldives,MDV,1830,44950
Latvia,LVA,1851,977815
North Macedonia,MKD,2001,2042844
Iran,IRN,2013,76481963
Ghana,GHA,1910,2924488
Mexico,MEX,1842,7163984
Papua New Guinea,PNG,1895,1006199
Portugal,PRT,1828,3451420
Chad,TCD,1818,1551038
Haiti,HTI,1960,3866162
Solomon Islands,SLB,1868,91377
Austria,AUT,1858,4177226
Oceania,NA,1944,11250125
Marshall Islands,MHL,1885,27357
Slovenia,SVN,2014,2067487
Iraq,IRQ,2010,29741977
Liberia,LBR,1923,607516
Gibraltar,GIB,1965,26079
Micronesia (country),FSM,1954,36757
Barbados,BRB,1879,171025
Djibouti,DJI,2015,913998
New Zealand,NZL,1913,1096177
Cayman Islands,CYM,1994,30521
Palestine,PSE,1803,165944
Libya,LBY,1806,230888
Bulgaria,BGR,1882,3072444
Honduras,HND,1947,1440179
Zambia,ZMB,1893,1633394
Saint Vincent and the Grenadines,VCT,1925,45971
Comoros,COM,2002,569480
Mali,MLI,2018,19077755
Aruba,ABW,1890,7457
Philippines,PHL,1933,12379611
Luxembourg,LUX,1983,365301
Turkey,TUR,1920,14084303
Africa,NA,1855,114646381
Albania,ALB,1992,3245887
Serbia,SRB,1980,8908295
Russia,RUS,1860,45221777
Mali,MLI,1801,1403398
Uganda,UGA,1944,4607016
Macao,MAC,1990,343816
Iceland,ISL,1917,94447
Egypt,EGY,1916,11767831
Haiti,HTI,1995,7744509
Fiji,FJI,1995,775428
Nepal,NPL,2012,26989160
Dominica,DMA,1814,19950
Lebanon,LBN,1973,2481943
Hong Kong,HKG,2021,7552800
Tonga,TON,2005,100908
Montserrat,MSR,2001,4528
Western Sahara,ESH,1963,42310
Yemen,YEM,1869,2809894
Niger,NER,1927,1805232
Afghanistan,AFG,1984,12204306
Palestine,PSE,1819,165944
Kiribati,KIR,1981,60101
Latvia,LVA,1914,2220548
Mali,MLI,1994,9334893
Puerto Rico,PRI,1820,248000
Slovenia,SVN,1985,1945129
Maldives,MDV,1907,65731
Albania,ALB,1968,2049214
Cuba,CUB,1987,10286645
Zambia,ZMB,1810,869384
Russia,RUS,1973,132275730
Montenegro,MNE,1866,258706
Colombia,COL,1949,11663023
Sao Tome and Principe,STP,1942,60721
Jamaica,JAM,2020,2961161
Vietnam,VNM,1959,31697900
Congo,COG,1804,314465
Tunisia,TUN,2017,11433438
Jamaica,JAM,1878,566341
Guadeloupe,GLP,1910,189866
Oceania,NA,1971,20318198
Democratic Republic of Congo,COD,1965,17369882
United Arab Emirates,ARE,1813,40153
Saint Kitts and Nevis,KNA,1827,19386
Vatican,VAT,2005,798
Iceland,ISL,2017,334395
Egypt,EGY,1996,63601632
Dominican Republic,DOM,1842,127982
World,OWID_WRL,1975,4079480473
Mongolia,MNG,2011,2770357
Mexico,MEX,1946,24495845
Sri Lanka,LKA,2012,20532599
Iceland,ISL,1801,61428
Gambia,GMB,1915,185110
Eswatini,SWZ,1905,118341
Brazil,BRA,2020,212559409
Fiji,FJI,1933,213395
Vietnam,VNM,1994,73651220
Turkey,TUR,1871,11892786
Antigua and Barbuda,ATG,1938,39091
Laos,LAO,1897,1316140
Maldives,MDV,1960,89873
Croatia,HRV,1812,1227886
Cambodia,KHM,1876,2435647
Suriname,SUR,1807,80721
Anguilla,AIA,1952,5477
Ecuador,ECU,1908,1614179
Japan,JPN,1800,28000000
Equatorial Guinea,GNQ,1910,122907
Chad,TCD,1866,1828182
South Sudan,SSD,1881,1584037
Botswana,BWA,1918,219194
Kenya,KEN,2021,54985702
Lebanon,LBN,1890,483944
Botswana,BWA,1852,102074
Kyrgyzstan,KGZ,1919,1300429
South Africa,ZAF,1897,5139985
Trinidad and Tobago,TTO,1903,290303
Benin,BEN,1948,2180770
Guyana,GUY,1975,745847
United Arab Emirates,ARE,1897,45738
Cyprus,CYP,1829,184973
Kiribati,KIR,1935,30467
Antigua and Barbuda,ATG,1869,35116
Croatia,HRV,1939,3504292
Democratic Republic of Congo,COD,1946,11369961
Mauritius,MUS,1819,86841
Dominican Republic,DOM,1941,1744867
Norway,NOR,1942,3029636
Argentina,ARG,1888,3160989
Maldives,MDV,1986,196262
Azerbaijan,AZE,1994,7683704
Tunisia,TUN,2001,9793915
Australia,AUS,2011,22538002
Liberia,LBR,1928,654467
Yemen,YEM,1924,3628373
Ireland,IRL,2002,3907995
Indonesia,IDN,1941,62798944
Jordan,JOR,1805,204121
Ireland,IRL,1970,2908430
Puerto Rico,PRI,1989,3373373
Bosnia and Herzegovina,BIH,1903,1809080
Venezuela,VEN,1929,3547303
Vanuatu,VUT,1995,168161
Palau,PLW,1958,9188
Uruguay,URY,1867,303377
Barbados,BRB,1986,257117
Gabon,GAB,1853,303020
World,OWID_WRL,2004,6461454653
Guinea,GIN,1986,5629420
Greece,GRC,1974,8919247
North America,NA,1889,87879134
Ethiopia,ETH,1815,12156949
Bosnia and Herzegovina,BIH,1871,1176497
Sao Tome and Principe,STP,1876,33759
Jamaica,JAM,1948,1363434
Cote d'Ivoire,CIV,1866,1159609
Croatia,HRV,1890,2275631
Eswatini,SWZ,1884,92956
Ghana,GHA,1834,1999631
Bolivia,BOL,1808,966743
Liberia,LBR,1806,313542
Thailand,THA,2020,69799978
Djibouti,DJI,1868,40300
Liberia,LBR,2021,5180208
Yemen,YEM,1846,2718643
Brunei,BRN,1802,2258
Kenya,KEN,1861,3576833
Mongolia,MNG,1906,709429
Oman,OMN,1897,375417
Wallis and Futuna,WLF,1965,8713
Morocco,MAR,1989,24355624
Liberia,LBR,1858,348592
Papua New Guinea,PNG,1944,1511112
Thailand,THA,1917,9597452
Malawi,MWI,1830,1403351
French Guiana,GUF,1977,59868
Taiwan,TWN,1964,12482182
Wallis and Futuna,WLF,1999,14580
Cape Verde,CPV,1905,156705
Croatia,HRV,1839,1450501
Malaysia,MYS,1831,359535
Samoa,WSM,2011,187469
Ghana,GHA,2007,22963946
Colombia,COL,1837,1854995
Eswatini,SWZ,1993,887706
Belgium,BEL,1977,9816693
Guatemala,GTM,1923,1724447
Mauritius,MUS,1903,374269
Indonesia,IDN,1815,16824830
Iceland,ISL,1808,61428
Egypt,EGY,1945,17967176
Turkmenistan,TKM,1905,794621
Ireland,IRL,1886,4869296
Ukraine,UKR,1982,50377069
Russia,RUS,1970,130148650
Peru,PER,1964,11383364
Africa,NA,1872,123096528
New Caledonia,NCL,1954,66273
Slovenia,SVN,1918,1114704
Mayotte,MYT,2005,178103
Tanzania,TZA,1955,8729667
Morocco,MAR,1839,2788161
Sao Tome and Principe,STP,2016,203221
North America,NA,1834,27095340
North Macedonia,MKD,1858,548289
Latvia,LVA,2015,1997675
Trinidad and Tobago,TTO,1995,1254200
Sao Tome and Principe,STP,2018,211032
Democratic Republic of Congo,COD,1944,11009777
Bahamas,BHS,1841,27803
Bahamas,BHS,1941,75307
Norway,NOR,1881,1924402
Somalia,SOM,1837,1246955
Tokelau,TKL,1972,1575
Romania,ROU,1972,21011147
Trinidad and Tobago,TTO,1869,122255
Vanuatu,VUT,2000,184964
Martinique,MTQ,2006,397850
Lithuania,LTU,1918,2362641
Syria,SYR,1888,1651460
Eswatini,SWZ,2004,1026287
Monaco,MCO,1867,13977
Sudan,SDN,1846,4605314
Vatican,VAT,1998,786
Croatia,HRV,1995,4616763
Namibia,"NAM",1825,164090
North Korea,PRK,1877,4794830
Kuwait,KWT,1892,93701
Azerbaijan,AZE,1811,879960
Iceland,ISL,1903,80582
Canada,CAN,1921,8726061
San Marino,SMR,2017,33671
Belarus,BLR,1801,2355081
Fiji,FJI,1994,765607
Angola,AGO,1859,2617734
United States,USA,1908,92403252
Canada,CAN,1953,14834905
Bulgaria,BGR,1955,7561487
Haiti,HTI,1997,8030721
Albania,ALB,1850,501490
Moldova,MDA,1829,773679
Costa Rica,CRI,1814,59821
Andorra,AND,1909,4937
Zambia,ZMB,1816,952109
Vanuatu,VUT,1971,88012
Vanuatu,VUT,1985,129989
Belarus,BLR,1822,2398703
Kuwait,KWT,1878,85875
Bosnia and Herzegovina,BIH,1958,3106896
North Macedonia,MKD,2019,2083458
Dominican Republic,DOM,1844,132275
Serbia,SRB,1877,1920620
Sierra Leone,SLE,1807,794264
Aruba,ABW,2000,90866
United States,USA,1803,6347862
Senegal,SEN,1952,2606617
Mauritius,MUS,1822,88981
Cayman Islands,CYM,2003,46624
Chad,TCD,1823,1585818
Spain,ESP,1803,11602809
Bahamas,BHS,2015,374200
United States,USA,1919,109687474
Latvia,LVA,1848,931409
Guadeloupe,GLP,1860,160262
Czechia,CZE,1900,9334000
Malta,MLT,1892,206473
Haiti,HTI,2010,9949318
Benin,BEN,1872,942508
Saint Martin (French part),MAF,1993,30194
Saint Pierre and Miquelon,SPM,2014,6073
Eritrea,ERI,1944,748704
Bermuda,BMU,2008,65940
Tanzania,TZA,1934,5851689
Eswatini,SWZ,2021,1172369
Cyprus,CYP,1878,185695
Solomon Islands,SLB,1996,369517
Cook Islands,COK,1985,17592
France,FRA,1927,40020278
China,CHN,1899,399421783
Brazil,BRA,1991,151648007
Africa,NA,2019,1308064176
Belarus,BLR,2016,9445638
Yemen,YEM,1972,6390573
Vanuatu,VUT,1818,27791
Palau,PLW,1912,6100
Malawi,MWI,1938,2399528
Gambia,GMB,1968,438590
Guyana,GUY,1950,406559
Russia,RUS,1821,32232494
Djibouti,DJI,1979,336080
Azerbaijan,AZE,1842,1075913
Israel,ISR,2003,6278374
Monaco,MCO,2005,33842
Ethiopia,ETH,1952,18819701
Cuba,CUB,1928,3747331
Mayotte,MYT,1987,80445
Tonga,TON,1840,18502
Nepal,NPL,2021,29674920
Cuba,CUB,1893,1666573
Svalbard and Jan Mayen,SJM,2010,2400
Senegal,SEN,1920,1560638
Guinea,GIN,1990,6352282
Ukraine,UKR,1944,35186258
Cote d'Ivoire,CIV,1854,1065571
Mexico,MEX,1994,90156396
Tuvalu,TUV,1876,3268
Georgia,GEO,1932,2978786
Norway,NOR,2015,5199827
Saint Vincent and the Grenadines,VCT,1853,30588
Lithuania,LTU,1803,778655
South America,NA,1888,32597223
Hong Kong,HKG,1909,428529
Bosnia and Herzegovina,BIH,2009,3735945
Maldives,MDV,2004,311265
Oman,OMN,1930,430341
Reunion,REU,1979,502499
Somalia,SOM,1801,989372
Asia,NA,1810,706674883
Eswatini,SWZ,1961,343346
Switzerland,CHE,1806,1817692
Costa Rica,CRI,1998,3803893
United Arab Emirates,ARE,2007,6168846
Pakistan,PAK,1968,55102690
Poland,POL,1895,23436454
Brazil,BRA,1832,5447434
Liberia,LBR,1909,536094
Equatorial Guinea,GNQ,2021,1449891
Guyana,GUY,1803,166034
Papua New Guinea,PNG,1896,1011683
Vanuatu,VUT,1939,46351
Cyprus,CYP,1850,185395
Argentina,ARG,1978,27061041
Argentina,ARG,1807,440789
British Virgin Islands,VGB,1990,17489
Vatican,VAT,1889,909
Micronesia (country),FSM,1920,27259
United States,USA,1940,138601511
Sudan,SDN,1816,4092598
Greece,GRC,1878,3984455
Ukraine,UKR,1997,50187280
Lebanon,LBN,1908,602029
Mexico,MEX,1850,7688866
United Arab Emirates,ARE,1933,59240
Ethiopia,ETH,1805,12032589
Turks and Caicos Islands,TCA,1994,15399
Mexico,MEX,1945,23690741
Central African Republic,CAF,1844,815572
Cameroon,CMR,1964,5643039
Burundi,BDI,1933,1752156
Botswana,BWA,1897,159949
Thailand,THA,1821,4666059
Thailand,THA,1888,6682179
Monaco,MCO,1940,25463
Ghana,GHA,1932,3739317
Togo,TGO,1981,2812312
Israel,ISR,1914,418167
Bolivia,BOL,1802,906297
Antigua and Barbuda,ATG,1883,35381
Papua New Guinea,PNG,2014,7946733
Czechia,CZE,1975,10069960
Somalia,SOM,1802,989796
Kazakhstan,KAZ,1935,5734165
Slovenia,SVN,1812,469664
Kazakhstan,KAZ,1939,5947560
Seychelles,SYC,1847,13764
Kazakhstan,KAZ,1994,16022224
Venezuela,VEN,1808,838184
Italy,ITA,1955,48335577
Montserrat,MSR,1950,13524
Belize,BLZ,1993,197625
Japan,JPN,1846,31864860
Grenada,GRD,1858,32162
Belgium,BEL,1867,4984970
Cameroon,CMR,1872,3050332
Bonaire Sint Eustatius and Saba,BES,1956,7722
Brunei,BRN,1815,2292
Chad,TCD,1849,1778415
Albania,ALB,1880,667371
Afghanistan,AFG,1820,3288817
Australia,AUS,1805,227357
Asia,NA,1964,1851744577
Djibouti,DJI,1962,94203
Liechtenstein,LIE,1973,22560
Namibia,"NAM",2020,2540916
Sierra Leone,SLE,1988,4156636
Central African Republic,CAF,1807,479444
Somalia,SOM,1813,996147
Costa Rica,CRI,1967,1696742
Laos,LAO,1946,1348223
Africa,NA,1987,580424290
South Sudan,SSD,1883,1611227
Barbados,BRB,1967,236661
Equatorial Guinea,GNQ,1824,83650
Samoa,WSM,1843,46955
Libya,LBY,1863,310705
Mozambique,MOZ,2021,32163045
Malta,MLT,1824,137305
Qatar,QAT,1877,14482
Austria,AUT,1988,7658856
Bahrain,BHR,1878,67217
Micronesia (country),FSM,1878,21942
Djibouti,DJI,1850,39961
Bahamas,BHS,1823,27414
Namibia,"NAM",1836,141696
Sao Tome and Principe,STP,1949,59930
Djibouti,DJI,1882,40697
Singapore,SGP,1963,1789374
Cambodia,KHM,1964,6331443
Mauritius,MUS,1925,389491
Latvia,LVA,1903,2258486
Kazakhstan,KAZ,1822,2079091
Namibia,"NAM",1926,320092
Nigeria,NGA,1910,20992384
Saint Kitts and Nevis,KNA,1913,42627
Chile,CHL,1920,4028859
Poland,POL,1994,38389469
Marshall Islands,MHL,1805,5828
Hungary,HUN,1830,4460196
United Arab Emirates,ARE,1883,42464
South Africa,ZAF,1807,1485404
Jamaica,JAM,1965,1756508
United Arab Emirates,ARE,2005,4588222
Tuvalu,TUV,1987,8481
Algeria,DZA,1943,7973182
Burundi,BDI,1858,1468533
Jordan,JOR,1978,2237936
Chad,TCD,1981,4612858
Togo,TGO,2002,5197040
El Salvador,SLV,1849,361478
Taiwan,TWN,1980,17905459
Dominica,DMA,1948,50125
Gabon,GAB,1974,634739
Bahamas,BHS,1960,109532
Morocco,MAR,1944,8160153
Rwanda,RWA,1924,1445441
Equatorial Guinea,GNQ,1935,139695
South America,NA,1962,156898854
Jamaica,JAM,1877,557697
Lesotho,LSO,1935,528759
South Sudan,SSD,2007,8315144
Myanmar,MMR,1922,12196245
Bahamas,BHS,1820,27363
Azerbaijan,AZE,1993,7581754
Costa Rica,CRI,1852,104847
Finland,FIN,1853,1660217
Argentina,ARG,1928,11152315
Mauritania,MRT,1892,339542
